,Name,Average(joule),Standart deviation(%),Standart deviation(J),Min,Max,Average(alljoule),Time(s),Joule/sec,Run count
0,java-2.problem0,123.74683424364346,3.623017081997156,4.483368943077909,115.20456066775243,134.32081536796545,966.0666547619048,5.122261904761905,24.158630804996978,21
1,java-3.problem0,121.80082202032892,2.2407321746008266,2.729230207937799,114.7039014839241,126.63762113402052,929.9868452380952,4.917119047619047,24.770769395812568,21
2,java-4.problem0,146.3226815209501,2.01307891253033,2.945591045947161,140.87186421725255,150.77774190476194,1019.0408809523809,5.287698412698411,27.672281983699392,21
3,java-6.problem0,122.690699786628,2.3289287863892354,2.8573790255531755,116.17263640065146,127.74756438467804,945.1436704545454,4.98965909090909,24.588994468612967,22
4,java-7.problem0,109.53011838129132,2.360726556263503,2.5857065917339965,106.36790784313727,115.56443957131066,410.78445714285704,1.8332285714285717,59.747115056110154,21
5,java-1.problem1,240.86058436414123,2.0677151160622698,4.980310711533264,231.1244175911253,251.14028807003257,649.9791818181817,2.482045454545455,97.04116575425522,22
6,java-2.problem1,854.9827679569615,16.272179662025913,139.1243320813189,638.0628825112098,1066.7945600706707,7422.006631578947,40.01263157894738,21.36782146582956,19
7,java-3.problem1,170.15655582005078,1.778305679863337,3.025903696807793,164.56012544802869,176.697740831296,478.2152333333334,1.8749714285714283,90.75154598472781,21
8,java-2.problem2,106.77968043283785,7.585529043249963,8.099803671522412,93.87814991896265,117.49249823321544,925.6501363636363,4.968522727272726,21.491233168103136,22
9,java-4.problem2,71.99214194777929,9.850881782044228,7.091860795637211,60.76211093502373,80.5714500932836,688.6266,3.7441500000000003,19.227900043475632,20
10,java-1.problem3,552.7100336582256,11.335174230248859,62.65064530322698,464.73282809966,621.1605591184684,5052.754389880952,27.31925595238095,20.23151855312719,21
11,java-2.problem3,106.53933864116028,1.1314247794283683,1.2054124772251902,104.08742292402823,108.30482566069902,323.1767755681818,1.3142386363636362,81.0654440474705,22
12,java-3.problem3,163.33636290700898,3.066107817566166,5.008068992020045,151.06562647637796,174.13768149429993,461.9519255952381,1.8172202380952385,89.88253568990282,21
13,java-4.problem3,106.43963318065576,1.6445069152248626,1.7504071281958613,103.21128690944882,109.4928039987406,338.09340624999993,1.4056534090909092,75.72253052727586,22
14,java-6.problem3,117.15143051670128,1.475334602709195,1.7283755919817134,113.66965512526453,119.30018319689343,343.1543409090909,1.3716988636363636,85.40608556467977,22
15,java-1.problem4,142.90013262475193,11.045251748271045,15.783679397017055,122.09741773231022,168.0490258906378,1292.1803863636364,6.9724545454545455,20.494953634070058,22
16,java-2.problem4,132.64998334797914,11.958680205373216,15.863187301065649,110.971026337115,152.7426199829206,1245.21625,6.769261904761904,19.59593013451957,21
17,java-3.problem4,130.43690676181856,10.901713617999574,14.21985802735058,109.16140537084395,145.7182073712256,1235.0016500000002,6.740824999999999,19.350288245402986,20
18,java-4.problem4,119.13088611496312,10.94950613774244,13.044243687104842,102.11160912190952,135.3899505300352,1169.7506309523808,6.36247619047619,18.723981441893134,21
19,java-5.problem4,124.08820002333589,10.182546419919762,12.63533856901906,101.94594489465142,138.1121470588235,1199.974855263158,6.573052631578947,18.87832137950309,19
20,java-4.problem5,32.507970298201485,8.91634244435124,2.8985219534956337,27.16611654841401,35.74329859413206,327.6155170454545,1.7917272727272726,18.14336969304462,22
21,java-5.problem5,32.07966515127788,9.020900796031436,2.893874768995845,26.37135779723127,35.86602075932503,322.6061306818181,1.7630568181818178,18.195480043780197,22
22,java-6.problem5,31.132774498735177,10.355691101323146,3.2240139583605205,25.488851822250638,35.215892024253804,297.220806547619,1.6192797619047619,19.22630988860976,21
23,java-8.problem5,70.54187168915678,6.417756952995251,4.527205875103848,62.26805439627223,79.41027831541217,349.34538068181826,1.691988636363636,41.69169353333421,22
24,java-1.problem6,124.75727340873601,11.369476494803921,14.184248875764503,99.38604457050236,144.5488304808476,1367.8039772727273,7.543,16.53947678758266,22
25,java-2.problem6,108.97219864073419,4.860341313421259,5.296420790679083,94.14773711340203,120.01313576826195,371.4780380952381,1.5968571428571428,68.24167028852563,21
26,javascript-1.problem0,600.634253607219,3.4469733965281515,20.70370293227627,561.1222145242075,636.7531030195381,4626.2755,24.44152380952381,24.57433743853473,21
27,javascript-1.problem1,866.7734326235297,11.300840610556962,97.95268407543844,724.6688233183879,987.1905476772616,7617.847547619046,40.97895238095238,21.15167378037753,21
28,javascript-3.problem1,5700.093380593393,9.569373570492907,545.4632294559198,4961.660353322522,6332.39606716414,46757.44202380952,248.56666666666666,22.931849459273405,21
29,javascript-4.problem1,744.4873645605813,9.627901554509759,71.67851054565695,655.3251786310516,848.4608659793802,6578.208977272728,35.39836363636364,21.031688702010864,22
30,javascript-1.problem2,1315.4230365356786,6.6039194982197165,86.86947839385354,1179.3372843450454,1428.1200368682667,10241.73268181818,54.15922727272727,24.288068770103752,22
31,javascript-2.problem2,1334.3623580419041,6.750344964439338,90.07406224345569,1192.8081207455455,1448.46967716535,10271.80164285714,54.374857142857145,24.54006186234533,21
32,javascript-3.problem2,1347.9200818604616,6.4365376328195,86.75938332928001,1189.6858209076158,1471.2307978810102,10259.303450000001,54.129650000000005,24.901695870201664,20
33,javascript-4.problem2,1377.6624745251,5.494883656282161,75.7009501514121,1228.1641802690556,1479.0036699266575,10366.70259090909,54.541909090909094,25.258787187460683,22
34,javascript-1.problem4,143.73565879553047,11.409481202189577,16.399492971119397,118.77307860615862,169.9306666666666,1376.485475,7.486500000000001,19.199313269956647,20
35,javascript-2.problem4,204.77483866975683,11.224489534342514,22.984930335453623,168.63677843803057,240.63520790378,1940.9235750000003,10.542600000000002,19.423561424103806,20
36,javascript-4.problem4,151.86650600318276,12.221955973819233,18.56105750268654,121.6801636952997,186.2050326492537,1517.5745,8.289619047619048,18.320082639599946,21
37,javascript-5.problem4,152.77818163443035,12.054427301142967,18.416534837130563,123.04380700325744,184.57727091963554,1560.461380952381,8.524761904761904,17.921694862713874,21
38,javascript-2.problem5,156.18820322601127,6.662892397965992,10.40665191926558,139.6219948849104,170.5237247351264,1311.7499404761907,6.998119047619047,22.318597635053205,21
39,javascript-7.problem5,61.65804481293255,7.302367410836373,4.502496970578473,55.16972138259154,67.70561313131319,585.7679015151515,3.178787878787879,19.396715718081733,22
40,javascript-1.problem6,96.39220845915906,12.03298077474528,11.598855912243003,79.73513232899025,116.18968814432988,1007.352775,5.531649999999999,17.425579792495743,20
41,javascript-2.problem6,146.831517922214,10.108841748215971,14.842965783259984,127.34094258957657,168.0009174816626,1362.6009047619048,7.361071428571429,19.94703072059576,21
42,javascript-3.problem6,95.55902031764516,11.787888942430254,11.264391189518374,79.25777493606131,108.704216535433,1003.8805500000001,5.5161,17.323656263962793,20
43,javascript-5.problem6,95.23357062060366,11.65034293021475,11.095037561988569,78.87507739059954,110.6718103387438,1004.8631309523813,5.508,17.29004550119892,21
44,python3-1.problem0,2734.2749500224363,0.7475291850664586,20.439503251379037,2702.7291874551997,2780.8310378006877,7379.489681818182,28.186045454545447,97.00810830068008,22
45,python3-2.problem0,5051.165624943255,7.486023715956589,378.13145661549896,4453.3929753362845,5581.049874067146,38565.77945,204.55365,24.693598109558327,20
46,python3-1.problem1,48406.22675213498,2.4391596755714673,1180.7051634037643,46834.78463427567,50412.043833335156,161915.24665000002,689.1731000000001,70.23812559157484,20
47,python3-2.problem1,41778.289473492085,2.1298111506294077,889.7986677486665,40660.387988188864,43226.11350041971,138816.00709523808,587.6414761904763,71.0948616907194,21
48,python3-4.problem1,17334.880575656487,0.4392094035433789,76.1364255812979,17143.88437885291,17512.228917296354,37773.51913636364,124.01236363636363,139.78348664079047,22
49,python3-6.problem1,37462.235260339185,9.29118283156188,3480.684770827955,32319.6523264568,42973.7737332231,292276.7709545455,1546.1494090909089,24.229375919346563,22
50,python3-1.problem2,3105.14688021917,9.785803120691938,303.8635603065559,2676.4519213937915,3591.6850395273,24852.350113636363,131.9622272727273,23.530573440547805,22
51,python3-2.problem2,3325.09635618012,9.152287762081967,304.3223868841065,2811.6902479740143,3690.567991442547,25671.28811363636,135.5936818181818,24.52250216672158,22
52,python3-3.problem2,2270.5696279237013,9.145327427754388,207.65102694876705,1897.230329872204,2518.2581865800885,17671.610785714285,93.27476190476192,24.342808081805277,21
53,python3-2.problem3,17401.662369987447,1.4594089926652,253.961425500833,16909.435734841954,17939.60265785043,47065.79386363637,179.98954545454546,96.68151739614265,22
54,python3-5.problem3,17802.56128088939,0.518450030639586,92.29738441540209,17661.91942724,17972.895524617623,38552.2739047619,125.64790476190475,141.68609746914743,21
55,python3-1.problem4,17154.743152186224,8.386880137627069,1438.7477460916461,15380.774032395384,18914.71234701473,129178.24872222224,677.2868333333333,25.328623424963805,18
56,python3-2.problem4,15867.957774224122,9.025771936001206,1432.2056796024424,13724.148265022352,17469.69084978333,125373.39068181819,664.4549545454546,23.881164051337677,22
57,python3-4.problem5,85.94894875677157,5.993560300168455,5.15140207109799,74.80323685706168,91.74881746031751,738.2309285714286,3.970015873015874,21.64952269862824,21
58,python3-6.problem5,57.16529853375569,4.99735708341642,2.8567540955327826,51.32220562047856,61.76643720802418,510.04546825396824,2.7565555555555554,20.73794537481564,21
59,python3-5.problem6,11610.827587854988,1.5778897359606705,183.20605676885378,11337.14109534032,11969.508145765432,41335.917136363634,180.35931818181817,64.37608938036817,22
60,python3-6.problem6,14328.695509852963,7.862809092400699,1126.6379733711296,12781.37028827348,15632.953756529812,109433.55585714286,578.6553333333331,24.762055552677243,21
61,php-1.problem0,12473.628651481022,6.51551005670138,812.7205292228307,11254.934859766294,13378.813099813378,93047.35525,491.8429,25.361001757839794,20
62,php-2.problem0,12139.647902737937,6.783941769048393,823.5466446892462,10994.938743111674,13192.231256709863,91318.1389375,480.5049375,25.264356212235462,16
63,php-3.problem0,23222.735964101124,8.43681401470389,1959.2590424169641,20542.958183407776,26165.866757461983,180613.08295238094,953.1915714285715,24.36313607903251,21
64,php-1.problem1,40550.68030169504,9.702430892279773,3934.401732621269,35189.77487638493,46823.284035211866,329702.5541388889,1743.6376666666667,23.256368611958393,18
65,php-2.problem1,32366.04619453489,8.921698855149364,2887.6011727949335,28011.626802263807,37005.92158435206,258747.9649318182,1373.6246363636362,23.562511429772222,22
66,php-3.problem1,15100.381308221495,0.6320380786577485,95.44015989047692,14965.786056701068,15296.776188647827,32926.611124999996,108.8081,138.7799374147834,20
67,php-2.problem2,5480.700158702156,6.147230195273821,336.91125506815916,4819.066884116697,5875.304118989388,39191.52076190476,204.1655238095238,26.844395941282304,21
68,php-3.problem2,1936.663645928848,8.626834745791797,167.0727723161081,1650.1413889789167,2130.498149350652,14520.927857142857,76.21190476190476,25.411563350623766,21
69,php-4.problem2,906.7159174144346,6.475103842180338,58.71079720616276,814.7253828522911,987.7052623376616,6887.775657894736,36.04694736842106,25.153750417400488,19
70,php-1.problem3,14575.737610998067,8.740057098059923,1273.9277896646263,12468.403560270921,16066.707486007388,111027.68447619046,586.9214285714286,24.83422294952755,21
71,php-3.problem3,6207.356402228924,0.5062397743863697,31.42410704600158,6157.168982066623,6254.301834172936,13683.541078947368,45.078,137.70256893005288,19
72,php-3.problem4,9423.31883758026,8.800066624920623,829.2583359857584,8000.604606159179,10463.451040692527,71137.72845,372.98825,25.26438523889227,20
73,php-1.problem5,11.322919640445761,5.390738084776221,0.6103889413661164,9.63694055336883,12.029008595415775,96.08135714285714,0.5159013605442176,21.947838300913492,21
74,php-2.problem5,11.849696490558433,6.143017771096655,0.7279289612360212,10.561182793245086,12.935349212924606,101.8366,0.5450999999999999,21.738573638889076,20
75,php-3.problem5,29.615240214404455,4.516521317707367,1.3375786375738221,26.211303164262443,32.07147534648187,244.43307792207796,1.3037727272727275,22.71503276215521,22
76,php-2.problem6,5790.933220905536,8.90320435939007,515.5786189730295,5097.607704214054,6389.118374558298,46509.784100000004,246.06365,23.534289688483184,20
77,php-3.problem6,2848.5264439671514,0.9195502460138401,26.193631923269233,2791.8947991031396,2896.690777128554,6953.30775,24.807850000000002,114.82359188592123,20
78,cs-1.problem0,1092.0316174363352,1.801920317246239,19.677539585338046,1056.835543052004,1125.0015554156157,6355.24659375,31.7490625,34.395712233592256,16
79,cs-2.problem0,620.6491561146742,3.6373050913847593,22.574903354995584,588.4124773289352,660.7833268398273,3962.827421052631,20.28005263157895,30.603922356110377,19
80,cs-3.problem0,2159.21208666845,3.282573656772093,70.87772715081755,2032.2501458781344,2252.9952367491155,12497.497142857143,62.582523809523806,34.50183781721921,21
81,cs-4.problem0,907.2331016021509,6.138363370725871,55.68926439584666,811.0467500000017,998.6346537102472,5198.401605263159,26.058368421052634,34.815422322035886,19
82,cs-1.problem1,1284.8311153174047,11.070283731298744,142.23444993364686,1094.4301734197736,1442.2971324675336,11062.197880952383,59.21090476190476,21.699231256199994,21
83,cs-2.problem1,1080.4834693192174,10.833871452756638,117.05819013432922,905.7620492487474,1218.7152640692625,9207.29361904762,49.444428571428574,21.85248167563158,21
84,cs-3.problem1,1311.8689475012336,1.436608847392641,18.846425365999444,1272.2502990886487,1337.7376458003168,3330.357571428571,12.222380952380954,107.33333812882651,21
85,cs-4.problem1,1339.1129361131552,2.079931098801435,27.852626406290504,1280.309679760888,1388.6182472266235,3475.749227272727,12.964545454545453,103.2903884527362,22
86,cs-5.problem1,1060.9525173106515,1.3436075680031032,14.255038315505347,1022.4018955857387,1085.1456581469647,2705.5042954545456,9.980227272727275,106.3054465913708,22
87,cs-6.problem1,991.4323552832105,2.516802997526427,24.9523992362147,896.5186891774891,1034.082123938879,2487.125428571428,9.057095238095236,109.46471569749276,21
88,cs-1.problem2,141.6411360031879,2.94465356477778,4.170840760509616,135.00773990442056,149.08530576546323,610.6939841269841,2.8404285714285713,49.86611437018133,21
89,cs-2.problem2,148.54123966385373,7.143338122619916,10.61080300072028,131.1112257929883,161.69957130657534,1210.6914431818182,6.446090909090907,23.04361538779516,22
90,cs-3.problem2,135.50497433747398,2.5546847487400006,3.4617249131834997,128.49687795275585,141.63810221870045,630.9850964912281,3.018666666666667,44.88901535031161,19
91,cs-4.problem2,116.71141507405787,15.697886923785523,18.321225965475577,87.23808887088047,138.40380331890356,1427.3901893939396,7.9531212121212125,14.674919690168943,22
92,cs-1.problem3,244.0836119963497,2.0177534713993297,4.925005554173216,233.67209320829798,254.6228612903224,670.4969920634921,2.5889841269841267,94.27775529882427,21
93,cs-2.problem3,1757.8837727148557,11.188011495222312,196.67223856398573,1452.4336393769947,1982.91341077738,14301.520102272729,76.11338636363638,23.09559272946362,22
94,cs-3.problem3,241.2077943709316,1.4239085520380865,3.4345784122301373,233.61733605410475,248.02016532258048,631.29514375,2.369075,101.81517865450928,20
95,cs-4.problem3,241.8531921050153,4.988189314064508,12.06409508430628,222.5956485799701,261.13097200211325,710.5069523809523,2.849809523809524,84.86644110225113,21
96,cs-5.problem3,274.15727227713717,1.3792017784321478,3.7811819749473417,266.8254815292096,284.00763334724536,678.1229761904763,2.446392857142857,112.06592247711413,21
97,cs-6.problem3,237.23843955762294,5.665071043617855,13.439726143709745,210.39842645739918,262.4261300085252,691.8867196969696,2.76110606060606,85.92152360331617,22
98,cs-1.problem4,461.77112490216354,11.315947481882713,52.25377798042785,383.8137084398976,528.0439204946996,4043.643090909091,21.734363636363636,21.246130442465635,22
99,cs-2.problem4,257.67969462689695,11.170495534767632,28.78409878230039,212.68356645056716,300.64314000000013,2435.747575,13.160649999999999,19.579556832443455,20
100,cs-3.problem4,247.05713781728744,11.514566506485947,28.447558442992207,202.565718800648,285.09690606060644,2373.8363809523808,12.877904761904764,19.18457562662898,21
101,cs-4.problem4,226.4531537139662,10.744052511762064,24.330245749569794,189.67939536741198,254.2964600651996,2192.0267619047613,11.959619047619046,18.934813292322143,21
102,cs-5.problem4,242.22064069879235,10.629403272307894,25.74660870864258,201.68053594249184,284.2611193969032,2389.1322142857143,12.998571428571427,18.634404713611897,21
103,cs-6.problem4,223.52231669792002,11.340392823380634,25.348308761465052,187.11901277955258,255.0728320346323,2250.517947368421,12.224157894736843,18.285293647438763,19
104,cs-8.problem4,216.90291509061075,12.239162027618917,26.547099220568533,181.505449066214,251.601866141732,2170.119261904762,11.828666666666667,18.3370553252503,21
105,cs-1.problem5,27.49093263037733,10.102378173717955,2.7772379778027467,22.19895149163232,30.43729816326529,294.80011904761903,1.6265170068027213,16.90171852824142,21
106,cs-2.problem5,25.953951565960697,12.19773613629148,3.1657945289567766,20.752953815728265,30.650990938166267,299.20798639455785,1.6632653061224492,15.604216278921154,21
107,cs-3.problem5,72.9622446847973,7.840426776557397,5.720551369044173,64.74458708959381,80.3171352380953,673.0863833333333,3.626716666666666,20.117988635670642,20
108,cs-4.problem5,23.89238212914499,12.67748579555685,3.02895335064252,19.441203690171726,27.532711445141445,275.718698051948,1.5278376623376622,15.63803715414931,22
109,cs-5.problem5,26.73028659034001,11.676530649090267,3.1211701063107173,20.984907822561414,31.447152753521966,291.1208299319728,1.609414965986394,16.608697666706043,21
110,cs-6.problem5,20.068589212486142,9.217232962881312,1.849768620078516,16.905531720675473,22.881302473716772,218.02757482993198,1.1992108843537415,16.734829106643048,21
111,cs-1.problem6,208.8444801452659,11.196415226308561,23.383095174289508,171.86787729549252,240.6954536796537,2108.853404761904,11.562380952380952,18.062411280633352,21
112,cs-3.problem6,29.588781853850406,20.145246838069504,5.960733140836082,15.20888711681854,36.897540807914254,583.1784761904762,3.3661666666666665,8.790052538649425,21
113,yarv-1.problem0,2440.5186180811456,6.46777232648565,157.84718780298235,2170.37324035874,2629.8418907905498,18689.219785714282,98.87309523809525,24.68334395928598,21
114,yarv-2.problem0,2488.5473163103693,5.786934029480384,144.0105914872856,2238.5521390134563,2666.3692502037547,18760.624675000003,98.82950000000001,25.18020749179515,20
115,yarv-3.problem0,2650.0298863786998,6.484695679091793,171.8463735366407,2397.622077578485,2868.022120779222,20138.051638888886,105.73333333333333,25.063334360454284,18
116,yarv-4.problem0,2234.1170796710635,6.3468112113735184,141.79519328777369,2021.4667212317627,2382.197579054609,16776.616261904765,88.48333333333333,25.24901578079936,21
117,yarv-1.problem1,41678.603467697096,8.867290203860284,3695.762722396877,36185.30869198824,45649.80105671097,329198.87776190473,1749.686714285714,23.820609213868224,21
118,yarv-2.problem1,44875.47098325849,10.242263435574293,4596.2639560600355,38769.03702062805,50620.03495056027,353516.235,1879.4205,23.877291422147675,16
119,yarv-2.problem2,3160.672961689519,9.341896778320676,295.26680558132585,2739.293353811665,3575.4024862543074,25367.70861363637,134.74886363636367,23.456026836849496,22
120,yarv-3.problem2,1713.3385486627958,9.772448184059158,167.43512188558293,1411.2335656401947,1887.0109354978365,13406.791375,70.8282,24.19006199032018,20
121,yarv-4.problem2,2391.28727856336,8.804904986132627,210.55057282298046,2034.7109684569489,2634.125054174059,18528.667452380952,97.72780952380953,24.468851703677736,21
122,yarv-5.problem2,2495.040836996116,8.620055335322617,215.07390078796178,2106.2215370843974,2731.558389875665,19089.75364285714,100.97952380952381,24.70838386703501,21
123,yarv-6.problem2,1945.144718396178,8.312825260209502,161.69648149846847,1648.4885592497806,2136.8426358792126,14867.246309523809,78.63657142857143,24.735879032607958,21
124,yarv-1.problem3,33262.404905734424,9.84104085590235,3273.366856428992,27795.263095055365,37124.96699378338,256773.02015909087,1356.2503636363638,24.525268930842255,22
125,yarv-2.problem3,15263.73195936437,0.913032965128322,139.36290449782382,15041.623763877391,15466.783875594208,41529.464250000005,159.3805,95.76913084953534,22
126,yarv-3.problem3,23042.06789631406,10.065719540277936,2319.3499307233933,19609.818627802444,25593.110110024776,175968.09795454543,927.9207272727273,24.831935766794995,22
127,yarv-6.problem3,12793.064637994383,0.9922604774966988,126.94052426342438,12542.397277540571,13040.346757328967,28979.403568181817,98.21813636363636,130.25155141032388,22
128,yarv-7.problem3,13054.539133273003,0.5129153825010424,66.9587393291755,12877.43567322832,13137.944979740532,29307.697261904766,98.42685714285714,132.63188028370743,21
129,yarv-2.problem4,8007.9649756844765,8.984715899912912,719.4929024297803,6877.753386995501,8774.63807339452,59787.981214285726,313.552380952381,25.539480680584088,21
130,yarv-2.problem5,115.97854490356693,7.4457114645500315,8.635427814303188,102.41063299232735,127.75866709956725,958.8742976190475,5.1302619047619045,22.60674933494443,21
131,yarv-3.problem5,58.97389827904601,3.747229689791942,2.2098874255401113,54.79767569218241,62.25700688277086,452.5712874999999,2.3904,24.671142185009206,20
132,yarv-1.problem6,5377.692250934118,10.559542184438858,567.8596817866877,4495.398413004465,5954.4443506493335,42230.62054761905,224.22628571428572,23.983326637210133,21
133,yarv-4.problem6,4285.377928476102,10.057243001386365,430.9908717946188,3767.778987212282,4938.059583481345,35282.89305,187.27105,22.883290975706615,20
134,yarv-5.problem6,3918.4668045342582,2.3325319117656984,91.39948866770722,3786.0737971428603,4100.681981450951,13489.53047368421,58.30821052631579,67.20265926812772,19
135,c-flags-1.problem0,426.64655778414885,8.803035410478904,37.55784755932796,361.4274524207011,480.41990852575464,3410.102452380953,18.151809523809522,23.504354054868273,21
